CatNum,HiRISE_img,ContainsArr
1087,H1592_0014_SR3.JP2,1
1086,H1592_0014_SR3.JP2,1
1085,H1592_0014_SR3.JP2,0
1084,"H1592_0013_SR3.JP2,H1592_0014_SR3.JP2","1,0"
1083,H1592_0013_SR3.JP2,1
1082,H1592_0013_SR3.JP2,1
1081,H1592_0013_SR3.JP2,1
37,H2574_0002_SR3.JP2,1
1089,"H1592_0013_SR3.JP2,H1592_0014_SR3.JP2","1,1"
50,"H1550_0040_SR3.JP2,H2574_0008_SR3.JP2","1,1"
27,"H1528_0004_SR3.JP2,H1528_0005_SR3.JP2","0,0"
48,H2574_0002_SR3.JP2,1
46,H2574_0009_SR3.JP2,1
47,"H1550_0024_SR3.JP2,H2574_0010_SR3.JP2","0,1"
44,"H1550_0028_SR3.JP2,H1550_0029_SR3.JP2,H2574_0010_SR3.JP2","0,0,1"
45,H2574_0010_SR3.JP2,1
28,H1528_0005_SR3.JP2,0
43,"H2574_0009_SR3.JP2,H2574_0010_SR3.JP2","0,0"
5,H0262_0002_SR3.JP2,1
1292,H1592_0014_SR3.JP2,0
1295,H1592_0013_SR3.JP2,1
1094,H1592_0013_SR3.JP2,1
1095,H1592_0013_SR3.JP2,1
1096,H1592_0013_SR3.JP2,1
1097,H1592_0013_SR3.JP2,1
1090,"H1592_0013_SR3.JP2,H1592_0014_SR3.JP2","1,1"
1091,H1592_0013_SR3.JP2,1
1092,H1592_0013_SR3.JP2,1
1093,H1592_0013_SR3.JP2,1
845,"H0266_0004_SR3.JP2,H0266_0005_SR3.JP2","0,0"
1099,H1592_0019_SR3.JP2,1
124,H1368_0007_SR3.JP2,0
1088,H1592_0014_SR3.JP2,1
847,"H0266_0003_SR3.JP2,H0266_0004_SR3.JP2","0,0"
846,"H0266_0004_SR3.JP2,H0266_0005_SR3.JP2","1,0"
39,H2574_0009_SR3.JP2,0
58,H2574_0008_SR3.JP2,1
51,"H1550_0050_SR3.JP2,H1550_0051_SR3.JP2,H2574_0007_SR3.JP2","0,0,1"
36,H2574_0002_SR3.JP2,1
35,H2574_0002_SR3.JP2,1
52,H2574_0002_SR3.JP2,0
537,H1600_0004_SR3.JP2,1
538,H1600_0002_SR3.JP2,1
